"weight"	"Time"	"Chick"	"Diet"	"MassIncreaseSpeed"
41	0	7	1	41
49	2	7	1	4
57	4	7	1	4
71	6	7	1	7
89	8	7	1	9
112	10	7	1	11.5
146	12	7	1	17
174	14	7	1	14
218	16	7	1	22
250	18	7	1	16
288	20	7	1	19
305	21	7	1	17
41	0	14	1	41
49	2	14	1	4
62	4	14	1	6.5
79	6	14	1	8.5
101	8	14	1	11
128	10	14	1	13.5
164	12	14	1	18
192	14	14	1	14
227	16	14	1	17.5
248	18	14	1	10.5
259	20	14	1	5.5
266	21	14	1	7
40	0	21	2	40
50	2	21	2	5
62	4	21	2	6
86	6	21	2	12
125	8	21	2	19.5
163	10	21	2	19
217	12	21	2	27
240	14	21	2	11.5
275	16	21	2	17.5
307	18	21	2	16
318	20	21	2	5.5
331	21	21	2	13
40	0	25	2	40
49	2	25	2	4.5
62	4	25	2	6.5
78	6	25	2	8
102	8	25	2	12
124	10	25	2	11
146	12	25	2	11
164	14	25	2	9
197	16	25	2	16.5
231	18	25	2	17
259	20	25	2	14
265	21	25	2	6
39	0	29	2	39
48	2	29	2	4.5
59	4	29	2	5.5
74	6	29	2	7.5
87	8	29	2	6.5
106	10	29	2	9.5
134	12	29	2	14
150	14	29	2	8
187	16	29	2	18.5
230	18	29	2	21.5
279	20	29	2	24.5
309	21	29	2	30
42	0	31	3	42
53	2	31	3	5.5
62	4	31	3	4.5
73	6	31	3	5.5
85	8	31	3	6
102	10	31	3	8.5
123	12	31	3	10.5
138	14	31	3	7.5
170	16	31	3	16
204	18	31	3	17
235	20	31	3	15.5
256	21	31	3	21
41	0	32	3	41
49	2	32	3	4
65	4	32	3	8
82	6	32	3	8.5
107	8	32	3	12.5
129	10	32	3	11
159	12	32	3	15
179	14	32	3	10
221	16	32	3	21
263	18	32	3	21
291	20	32	3	14
305	21	32	3	14
41	0	34	3	41
49	2	34	3	4
63	4	34	3	7
85	6	34	3	11
107	8	34	3	11
134	10	34	3	13.5
164	12	34	3	15
186	14	34	3	11
235	16	34	3	24.5
294	18	34	3	29.5
327	20	34	3	16.5
341	21	34	3	14
41	0	35	3	41
53	2	35	3	6
64	4	35	3	5.5
87	6	35	3	11.5
123	8	35	3	18
158	10	35	3	17.5
201	12	35	3	21.5
238	14	35	3	18.5
287	16	35	3	24.5
332	18	35	3	22.5
361	20	35	3	14.5
373	21	35	3	12
41	0	38	3	41
49	2	38	3	4
61	4	38	3	6
74	6	38	3	6.5
98	8	38	3	12
109	10	38	3	5.5
128	12	38	3	9.5
154	14	38	3	13
192	16	38	3	19
232	18	38	3	20
280	20	38	3	24
290	21	38	3	10
42	0	39	3	42
50	2	39	3	4
61	4	39	3	5.5
78	6	39	3	8.5
89	8	39	3	5.5
109	10	39	3	10
130	12	39	3	10.5
146	14	39	3	8
170	16	39	3	12
214	18	39	3	22
250	20	39	3	18
272	21	39	3	22
41	0	40	3	41
55	2	40	3	7
66	4	40	3	5.5
79	6	40	3	6.5
101	8	40	3	11
120	10	40	3	9.5
154	12	40	3	17
182	14	40	3	14
215	16	40	3	16.5
262	18	40	3	23.5
295	20	40	3	16.5
321	21	40	3	26
42	0	42	4	42
49	2	42	4	3.5
63	4	42	4	7
84	6	42	4	10.5
103	8	42	4	9.5
126	10	42	4	11.5
160	12	42	4	17
174	14	42	4	7
204	16	42	4	15
234	18	42	4	15
269	20	42	4	17.5
281	21	42	4	12
39	0	48	4	39
50	2	48	4	5.5
62	4	48	4	6
80	6	48	4	9
104	8	48	4	12
125	10	48	4	10.5
154	12	48	4	14.5
170	14	48	4	8
222	16	48	4	26
261	18	48	4	19.5
303	20	48	4	21
322	21	48	4	19
41	0	50	4	41
54	2	50	4	6.5
67	4	50	4	6.5
84	6	50	4	8.5
105	8	50	4	10.5
122	10	50	4	8.5
155	12	50	4	16.5
175	14	50	4	10
205	16	50	4	15
234	18	50	4	14.5
264	20	50	4	15
264	21	50	4	0
